venda_id,data,vendedor_id,vendedor_nome,produto_id,produto_nome,categoria,preco_unit,qtd,desconto,canal,cidade,estado,comentarios
1,07-10-2024,2.0,Maria Souza,108,Tablet T10,Eletrônicos,1500.0,7.0,0.01,loja_fisica,Rio de Janeiro,RJ,
2,21-01-2025,,,102,Cafeteira 20L,Eletrodomésticos,600.0,2.0,0.03,ecommerce,Silveira do Campo,DF,Consequatur porro ipsum velit impedit nulla neque vitae accusamus maxime possimus officia eum est in.
3,07-11-2024,,,107,Jaqueta Esportiva,Vestuário,250.0,10.0,0.03,ecommerce,Costela da Prata,RJ,Dicta eveniet eius soluta aspernatur quidem nostrum modi sint cumque nisi ullam veritatis molestias voluptatum rerum vel ipsam praesentium.
4,05-09-2024,5.0,Fernando Costa,103,Tênis Corrida,Calçados,350.0,8.0,0.17,loja_fisica,Belo Horizonte,MG,
5,01-08-2024,5.0,Fernando Costa,108,Tablet T10,Eletrônicos,1500.0,10.0,0.27,loja_fisica,Belo Horizonte,MG,Aperiam similique itaque dicta ullam dolorum mollitia ipsa qui aliquid nemo explicabo sapiente ex in.
6,28-12-2024,,,104,Camisa Polo,Vestuário,120.0,3.0,0.15,ecommerce,Vasconcelos do Campo,DF,Necessitatibus dolorem quo doloremque iste officia illum quibusdam doloremque.
7,17-05-2025,5.0,Fernando Costa,105,Smartphone A9,Eletrônicos,2800.0,10.0,0.18,loja_fisica,Belo Horizonte,MG,
8,05-11-2024,3.0,Carlos Pereira,107,Jaqueta Esportiva,Vestuário,250.0,7.0,0.06,loja_fisica,Curitiba,PR,Provident eveniet minus qui nihil incidunt est vel quas.
9,15-04-2025,,Maria Souza,110,Fone Bluetooth B1,Eletrônicos,200.0,3.0,0.26,loja_fisica,Rio de Janeiro,RJ,Sed nobis distinctio unde quaerat perspiciatis enim labore veniam asperiores id cumque distinctio magnam temporibus minus illo.
10,11-03-2025,3.0,Carlos Pereira,103,Tênis Corrida,Calçados,350.0,8.0,0.02,loja_fisica,Curitiba,PR,
11,26-05-2025,3.0,Carlos Pereira,107,Jaqueta Esportiva,Vestuário,250.0,4.0,,loja_fisica,Curitiba,PR,
12,20-10-2024,,,109,Liquidificador X,Eletrodomésticos,300.0,2.0,0.02,ecommerce,Siqueira,PA,
13,29-03-2025,5.0,Fernando Costa,107,Jaqueta Esportiva,Vestuário,250.0,4.0,0.27,loja_fisica,Belo Horizonte,MG,Cum voluptates expedita labore cumque et distinctio unde labore.
14,24-12-2024,4.0,Ana Oliveira,103,Tênis Corrida,Calçados,350.0,5.0,0.24,loja_fisica,Salvador,BA,Numquam numquam aliquid eius minima consequatur quos excepturi quasi enim suscipit.
15,17-04-2025,,,102,Cafeteira 20L,Eletrodomésticos,600.0,5.0,0.04,ecommerce,da Cruz,SE,Commodi minima deserunt sint fuga perferendis facere ratione sit tempora ab veritatis atque.
16,13-09-2024,5.0,Fernando Costa,107,Jaqueta Esportiva,Vestuário,250.0,6.0,0.08,loja_fisica,Belo Horizonte,MG,
17,19-05-2025,3.0,,101,Notebook X1,Eletrônicos,3500.0,8.0,0.21,loja_fisica,Curitiba,PR,
18,24-07-2025,4.0,Ana Oliveira,107,Jaqueta Esportiva,Vestuário,250.0,5.0,,loja_fisica,Salvador,BA,Et aut temporibus rem maiores accusamus mollitia in quia accusamus itaque ab explicabo accusantium excepturi delectus et eius quis debitis iste illo minima dolore unde.
19,23-07-2025,3.0,Carlos Pereira,109,Liquidificador X,Eletrodomésticos,300.0,9.0,,loja_fisica,Curitiba,PR,
